,LPA 18:2,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,0.785,,,0.779,,,0.755,,,0.688,,,0.599,,,0.657,,,0.607,,,0.567,,,0.573,,,0.273,,,0.245,,,0.275,
,2.5,,,1.028,,,1,,,0.992,,,0.879,,,0.839,,,0.867,,,0.85,,,0.821,,,0.833,,,0.383,,,0.365,,,0.385,
,1.25,,,1.248,,,1.229,,,1.257,,,1.413,,,1.139,,,1.108,,,1.109,,,1.154,,,1.151,,,0.53,,,0.542,,,0.541,
,0.625,,,1.439,,,1.423,,,1.432,,,1.329,,,1.321,,,1.363,,,1.534,,,1.501,,,1.533,,,0.759,,,0.752,,,0.76,
,0.3125,,,1.577,,,1.529,,,1.516,,,1.628,,,1.48,,,1.487,,,1.768,,,1.768,,,1.767,,,0.94,,,0.938,,,0.934,
,0.15625,,,1.616,,,1.611,,,1.594,,,1.571,,,1.49,,,1.54,,,1.916,,,1.924,,,1.983,,,1.071,,,1.058,,,1.074,
,0.078125,,,1.742,,,1.669,,,1.656,,,1.541,,,1.516,,,1.512,,,1.946,,,1.985,,,2.036,,,1.176,,,1.172,,,1.155,
,0,,,1.799,,,1.781,,,1.785,,,1.578,,,1.654,,,1.618,,,2.118,,,2.063,,,2.191,,,1.331,,,1.298,,,1.344,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LPA C18:1,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,1.633,,,1.557,,,1.561,,,1.353,,,1.408,,,1.331,,,1.497,,,1.57,,,1.451,,,0.749,,,0.766,,,0.791,
,2.5,,,1.719,,,1.707,,,1.68,,,1.568,,,1.546,,,1.481,,,1.766,,,1.842,,,1.77,,,0.943,,,0.94,,,0.946,
,1.25,,,1.754,,,1.746,,,1.731,,,1.601,,,1.679,,,1.606,,,1.993,,,1.981,,,2.119,,,1.074,,,1.08,,,1.026,
,0.625,,,1.845,,,1.828,,,1.842,,,1.75,,,1.751,,,1.712,,,2.114,,,2.099,,,2.092,,,1.202,,,1.171,,,1.168,
,0.3125,,,1.806,,,1.789,,,1.795,,,1.713,,,1.725,,,1.702,,,2.078,,,2.189,,,2.138,,,1.212,,,1.244,,,1.224,
,0.15625,,,1.816,,,1.786,,,1.785,,,1.67,,,1.732,,,1.636,,,2.214,,,2.219,,,2.217,,,1.262,,,1.281,,,1.263,
,0.078125,,,1.796,,,1.796,,,1.792,,,1.726,,,1.715,,,1.742,,,2.173,,,2.173,,,2.212,,,1.3,,,1.29,,,1.28,
,0,,,2.028,,,1.882,,,1.883,,,1.762,,,1.767,,,1.691,,,2.234,,,2.272,,,2.237,,,1.36,,,1.326,,,1.366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S1P,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,1.996,,,1.97,,,1.931,,,1.806,,,1.871,,,1.873,,,2.473,,,2.172,,,2.387,,,1.452,,,1.522,,,1.556,
,2.5,,,1.874,,,1.881,,,1.872,,,1.804,,,1.804,,,1.759,,,2.377,,,2.298,,,2.303,,,1.403,,,1.426,,,1.395,
,1.25,,,1.786,,,1.841,,,1.851,,,1.909,,,1.882,,,1.759,,,2.346,,,2.298,,,2.356,,,1.374,,,1.385,,,1.367,
,0.625,,,1.836,,,1.871,,,1.883,,,1.796,,,1.731,,,1.794,,,2.245,,,2.305,,,2.329,,,1.358,,,1.36,,,1.325,
,0.3125,,,1.816,,,1.833,,,1.772,,,1.663,,,1.756,,,1.719,,,2.293,,,2.293,,,2.235,,,1.312,,,1.35,,,1.324,
,0.15625,,,1.732,,,1.831,,,1.771,,,1.7,,,1.731,,,1.636,,,2.238,,,2.238,,,2.228,,,1.35,,,1.351,,,1.342,
,0.078125,,,1.775,,,1.839,,,1.797,,,1.686,,,1.758,,,1.654,,,2.267,,,2.271,,,2.287,,,1.316,,,1.374,,,1.358,
,0,,,1.915,,,1.868,,,1.802,,,1.762,,,1.797,,,1.797,,,2.106,,,2.138,,,2.103,,,1.432,,,1.479,,,1.475,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
