,Sphingosine,,,LT 3015,,,,,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,1.748,,,,,1.711,,,,,1.701,,,1.55,,,1.602,,,1.602,,,2.142,,,2.18,,,2.173,,,1.39,,,1.466,,,1.407,
,2.5,,,1.721,,,,,1.721,,,,,1.704,,,1.637,,,1.508,,,1.571,,,2.084,,,2.109,,,2.137,,,1.3,,,1.326,,,1.308,
,1.25,,,1.671,,,,,1.702,,,,,1.736,,,1.616,,,1.549,,,1.554,,,2.053,,,2.115,,,2.113,,,1.228,,,1.259,,,1.318,
,0.625,,,1.774,,,,,1.772,,,,,1.769,,,1.719,,,1.691,,,1.676,,,2.276,,,2.268,,,2.191,,,1.338,,,1.337,,,1.339,
,0.3125,,,1.735,,,,,1.69,,,,,1.689,,,1.608,,,1.663,,,1.623,,,2.235,,,2.205,,,2.203,,,1.246,,,1.237,,,1.314,
,0.15625,,,1.798,,,,,1.784,,,,,1.774,,,1.643,,,1.653,,,1.633,,,2.197,,,2.232,,,2.235,,,1.28,,,1.286,,,1.286,
,0.078125,,,1.874,,,,,1.703,,,,,1.767,,,1.631,,,1.578,,,1.615,,,2.151,,,2.205,,,2.232,,,1.242,,,1.31,,,1.372,
,0,,,1.873,,,,,1.776,,,,,1.78,,,1.733,,,1.711,,,1.695,,,2.278,,,2.278,,,2.281,,,1.275,,,1.383,,,1.377,
,SPC,,,LT 3015,,,,,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,1.82,,,1.785,,,,,1.729,,,,,1.692,,,1.726,,,1.662,,,2.264,,,2.273,,,2.249,,,1.257,,,1.248,,,1.352,
,2.5,,,1.773,,,1.728,,,,,1.688,,,,,1.552,,,1.575,,,1.555,,,2.146,,,2.083,,,2.189,,,1.184,,,1.233,,,1.291,
,1.25,,,1.717,,,1.705,,,,,1.684,,,,,1.541,,,1.55,,,1.48,,,2.082,,,2.08,,,2.132,,,1.2,,,1.215,,,1.225,
,0.625,,,1.7,,,1.688,,,,,1.715,,,,,1.943,,,1.622,,,1.557,,,2.18,,,2.156,,,2.195,,,1.156,,,1.234,,,1.237,
,0.3125,,,1.752,,,1.701,,,,,1.659,,,,,1.638,,,1.644,,,1.571,,,2.198,,,2.163,,,2.139,,,1.216,,,1.174,,,1.313,
,0.15625,,,1.768,,,1.703,,,,,1.663,,,,,1.599,,,1.615,,,1.58,,,2.213,,,2.165,,,2.176,,,1.186,,,1.191,,,1.254,
,0.078125,,,1.759,,,1.76,,,,,1.72,,,,,1.644,,,1.617,,,1.504,,,2.157,,,2.157,,,2.173,,,1.195,,,1.25,,,1.259,
,0,,,1.857,,,1.744,,,,,1.736,,,,,1.589,,,1.63,,,1.623,,,2.117,,,2.134,,,2.123,,,1.178,,,1.287,,,1.329,
