,LPE 18:0,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,2.186,,,2.145,,,2.048,,,1.966,,,1.974,,,2.186,,,2.538,,,2.522,,,2.538,,,1.477,,,1.528,,,1.555,
,2.5,,,2.034,,,2.033,,,2.064,,,1.816,,,1.795,,,1.981,,,2.553,,,2.623,,,2.487,,,1.445,,,1.5,,,1.524,
,1.25,,,1.998,,,2.19,,,2.292,,,1.871,,,1.757,,,1.848,,,2.4,,,2.439,,,1.642,,,1.439,,,1.464,,,1.462,
,0.625,,,2.103,,,2.071,,,2.022,,,1.923,,,1.917,,,1.884,,,2.468,,,2.578,,,2.503,,,1.552,,,1.499,,,1.475,
,0.3125,,,2.026,,,2.076,,,2.02,,,1.843,,,1.917,,,1.986,,,2.519,,,2.538,,,2.505,,,1.442,,,1.425,,,1.382,
,0.15625,,,2.062,,,2.025,,,2.047,,,1.939,,,1.95,,,2.01,,,2.558,,,2.49,,,2.508,,,1.382,,,1.441,,,1.412,
,0.078125,,,2.059,,,2.042,,,2.037,,,1.879,,,1.887,,,1.915,,,2.427,,,2.457,,,2.444,,,1.407,,,1.383,,,1.373,
,0,,,2.159,,,2.125,,,2.168,,,1.872,,,1.893,,,1.895,,,2.465,,,2.524,,,2.465,,,1.446,,,1.466,,,1.483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LPG 18:0,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,2.131,,,2.049,,,2.072,,,1.86,,,1.861,,,1.895,,,2.47,,,2.437,,,2.451,,,1.472,,,1.444,,,1.548,
,2.5,,,2.013,,,1.929,,,1.931,,,1.793,,,1.829,,,1.828,,,2.353,,,2.376,,,2.422,,,1.407,,,1.441,,,1.487,
,1.25,,,1.929,,,1.926,,,1.95,,,1.763,,,1.744,,,1.125,,,2.291,,,1.001,,,2.318,,,1.389,,,1.444,,,1.568,
,0.625,,,2.077,,,1.951,,,1.997,,,1.838,,,1.85,,,1.837,,,2.37,,,2.452,,,1.811,,,1.433,,,1.446,,,1.497,
,0.3125,,,2.099,,,1.968,,,1.996,,,1.756,,,1.812,,,1.881,,,2.479,,,2.466,,,2.445,,,1.352,,,1.418,,,1.421,
,0.15625,,,2.118,,,2.05,,,2.088,,,1.837,,,1.811,,,1.828,,,2.468,,,2.443,,,2.49,,,1.353,,,1.429,,,1.46,
,0.078125,,,2.156,,,2.072,,,2.015,,,1.838,,,1.838,,,1.843,,,2.475,,,2.47,,,2.489,,,1.399,,,1.412,,,1.47,
,0,,,2.193,,,2.088,,,2.058,,,1.893,,,1.854,,,1.873,,,2.514,,,2.535,,,2.639,,,1.488,,,1.638,,,1.562,
,LPS C18:1,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
5,,,2.295,,,2.288,,,2.186,,,2.111,,,1.989,,,2.06,,,2.696,,,2.641,,,2.619,,,1.536,,,1.529,,,,1.,
,5,,,2.295,,,2.288,,,2.186,,,2.111,,,1.989,,,2.06,,,2.696,,,2.641,,,2.619,,,1.536,,,1.529,,,615,
,2.5,,,2.143,,,2.162,,,2.101,,,1.951,,,1.926,,,1.888,,,2.608,,,2.615,,,2.608,,,1.474,,,1.492,,,1.575,
,1.25,,,2.038,,,1.818,,,0.906,,,0.928,,,1.604,,,1.927,,,2.586,,,2.555,,,2.393,,,1.471,,,1.485,,,1.532,
,0.625,,,2.105,,,2.083,,,2.14,,,1.96,,,1.991,,,1.977,,,2.593,,,2.629,,,2.588,,,1.442,,,1.514,,,1.521,
,0.3125,,,2.101,,,2.049,,,2.061,,,1.908,,,1.936,,,1.911,,,2.595,,,2.625,,,2.589,,,1.487,,,1.501,,,1.547,
,0.15625,,,2.139,,,2.087,,,1.985,,,1.904,,,1.943,,,1.881,,,2.596,,,2.562,,,2.608,,,1.45,,,1.522,,,1.509,
,0.078125,,,2.175,,,2.109,,,2.099,,,1.87,,,1.867,,,1.904,,,2.569,,,2.486,,,2.563,,,1.485,,,1.527,,,1.529,
,0,,,2.328,,,2.152,,,2.146,,,1.769,,,2.055,,,1.953,,,2.616,,,2.533,,,2.578,,,1.511,,,1.569,,,1.574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
