,PS 16:0,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,2.027,,,2.074,,,2.109,,,2.109,,,1.919,,,1.982,,,2.586,,,2.595,,,2.586,,,1.353,,,1.301,,,1.391,
,2.5,,,1.862,,,1.92,,,1.894,,,1.897,,,1.894,,,1.793,,,2.438,,,2.464,,,2.464,,,1.227,,,1.303,,,1.306,
,1.25,,,1.961,,,2.029,,,1.992,,,1.906,,,1.867,,,1.804,,,2.469,,,2.476,,,2.551,,,1.272,,,1.33,,,1.427,
,0.625,,,2.013,,,1.966,,,2.015,,,1.805,,,1.826,,,1.903,,,2.45,,,2.525,,,2.499,,,1.252,,,1.364,,,1.314,
,0.3125,,,1.799,,,1.841,,,1.919,,,1.8,,,1.821,,,1.841,,,2.526,,,2.452,,,2.494,,,1.314,,,1.224,,,1.333,
,0.15625,,,1.914,,,1.972,,,1.936,,,1.839,,,1.869,,,1.839,,,2.502,,,2.424,,,2.465,,,1.249,,,1.313,,,1.266,
,0.078125,,,1.92,,,1.908,,,1.899,,,1.812,,,1.884,,,1.806,,,2.361,,,2.403,,,2.414,,,1.228,,,1.194,,,1.303,
,0,,,1.918,,,1.911,,,1.87,,,1.786,,,1.913,,,2.01,,,2.478,,,2.485,,,2.485,,,1.291,,,1.277,,,1.402,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PC 16:0-18:1,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,,B3,,,,,,,
,5,,,1.993,,,1.971,,,2.007,,,1.814,,,1.838,,,1.823,,,2.445,,,2.454,,,2.508,,,1.294,,,1.321,,,1.348,
,2.5,,,1.953,,,1.92,,,1.941,,,1.768,,,1.738,,,1.749,,,2.397,,,2.448,,,2.467,,,1.23,,,1.314,,,1.336,
,1.25,,,1.958,,,1.908,,,1.946,,,1.769,,,1.772,,,1.827,,,2.49,,,2.435,,,2.457,,,1.226,,,1.287,,,1.296,
,0.625,,,1.876,,,1.869,,,1.796,,,1.814,,,1.847,,,1.814,,,2.442,,,2.482,,,2.466,,,1.327,,,1.321,,,1.289,
,0.3125,,,1.915,,,1.913,,,1.921,,,1.76,,,1.761,,,1.777,,,2.365,,,2.421,,,2.515,,,1.278,,,1.314,,,1.237,
,0.15625,,,1.956,,,1.904,,,1.884,,,1.803,,,1.788,,,1.763,,,2.486,,,2.433,,,2.518,,,1.225,,,1.307,,,1.293,
,0.078125,,,1.941,,,1.913,,,1.858,,,1.767,,,1.774,,,1.728,,,2.416,,,2.444,,,2.507,,,1.242,,,1.297,,,1.316,
,0,,,1.975,,,1.952,,,1.873,,,1.819,,,1.816,,,1.804,,,2.439,,,2.384,,,2.469,,,1.266,,,1.319,,,1.322,
