,PG 18:2,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,2.017,,,1.921,,,1.939,,,1.816,,,1.919,,,1.959,,,2.441,,,2.432,,,2.41,,1.27,,,1.328,,,1.258,
,2.5,,,1.902,,,1.861,,,1.825,,,1.757,,,1.828,,,1.763,,,2.301,,,2.328,,,2.282,,1.216,,,1.221,,,1.273,
,1.25,,,1.846,,,1.787,,,1.788,,,1.7,,,1.812,,,1.802,,,2.336,,,2.405,,,2.332,,1.201,,,1.236,,,1.217,
,0.625,,,1.893,,,1.854,,,1.91,,,1.775,,,1.91,,,1.893,,,2.41,,,2.407,,,2.362,,1.212,,,1.227,,,1.232,
,0.3125,,,1.899,,,1.881,,,1.907,,,1.737,,,1.914,,,1.758,,,2.376,,,2.434,,,2.408,,1.229,,,1.246,,,1.203,
,0.15625,,,1.912,,,1.912,,,1.797,,,1.754,,,1.826,,,1.741,,,2.444,,,2.504,,,2.46,,1.202,,,1.253,,,1.236,
,0.078125,,,1.821,,,1.941,,,1.936,,,1.89,,,1.864,,,1.873,,,2.475,,,2.396,,,2.423,,1.172,,,1.188,,,1.191,
,0,,,1.957,,,2.096,,,2.021,,,2.052,,,2.14,,,2.043,,,2.524,,,2.409,,,2.382,,1.224,,,1.236,,,1.249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA 16:0-,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,,
,18:1,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,,,,,,,,,B3,,,,,,,
,5,,,1.907,,,1.935,,,1.928,,,1.721,,,1.712,,,1.813,,,2.366,,,2.452,,,2.382,,1.226,,,1.319,,,1.366,
,2.5,,,1.842,,,1.877,,,1.831,,,1.727,,,1.687,,,1.735,,,2.332,,,2.479,,,2.335,,1.187,,,1.204,,,1.341,
,1.25,,,1.77,,,1.816,,,1.775,,,1.665,,,1.647,,,1.714,,,2.264,,,2.458,,,2.389,,1.189,,,1.171,,,1.343,
,0.625,,,1.825,,,1.893,,,1.845,,,1.762,,,1.826,,,1.796,,,2.403,,,2.496,,,2.437,,1.233,,,1.17,,,1.291,
,0.3125,,,1.799,,,1.735,,,1.805,,,1.621,,,1.721,,,1.754,,,2.373,,,2.497,,,2.397,,1.186,,,1.152,,,1.297,
,0.15625,,,1.838,,,1.829,,,1.839,,,1.734,,,1.738,,,1.753,,,2.342,,,2.456,,,2.408,,1.196,,,1.16,,,1.317,
,0.078125,,,1.856,,,1.86,,,1.835,,,1.678,,,1.647,,,1.798,,,2.298,,,2.489,,,2.408,,1.193,,,1.204,,,1.325,
,0,,,1.834,,,1.867,,,1.898,,,1.654,,,1.715,,,1.772,,,2.39,,,2.39,,,2.406,,1.219,,,1.189,,,1.315,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE 18:1,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.958,,,1.881,,,2.011,,,1.93,,,1.904,,,1.824,,,2.538,,,2.488,,,2.532,,1.408,,,1.362,,,1.362,
,2.5,,,1.838,,,1.84,,,2.019,,,1.841,,,1.845,,,1.82,,,2.486,,,2.667,,,2.512,,1.332,,,1.217,,,1.296,
,1.25,,,1.879,,,1.878,,,1.972,,,1.789,,,1.808,,,1.849,,,2.55,,,2.437,,,2.544,,1.328,,,1.267,,,1.302,
,0.625,,,1.903,,,1.904,,,1.974,,,1.957,,,1.934,,,1.873,,,2.541,,,2.676,,,2.683,,1.316,,,1.306,,,1.296,
,0.3125,,,1.949,,,1.969,,,2.036,,,1.867,,,1.951,,,1.875,,,2.543,,,2.495,,,2.553,,1.349,,,1.286,,,1.307,
,0.15625,,,1.913,,,1.915,,,1.995,,,1.867,,,1.826,,,1.842,,,2.586,,,2.586,,,2.634,,1.363,,,1.292,,,1.307,
,0.078125,,,1.904,,,1.946,,,1.951,,,1.869,,,1.886,,,1.815,,,2.487,,,2.532,,,2.487,,1.339,,,1.278,,,1.264,
,0,,,2.042,,,1.951,,,2.094,,,1.977,,,1.951,,,1.954,,,2.63,,,2.534,,,2.534,,1.386,,,1.339,,,1.38,
