,PC 11:0,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.986,,,1.911,,,1.919,,,1.833,,,1.869,,,1.741,,,2.471,,,2.541,,,2.513,,1.362,,,1.376,,,1.269,
,2.5,,,1.913,,,1.972,,,1.995,,,1.923,,,1.878,,,1.862,,,2.494,,,2.581,,,2.489,,1.349,,,1.381,,,1.299,
,1.25,,,1.922,,,1.99,,,1.945,,,1.901,,,1.966,,,1.945,,,2.503,,,2.547,,,2.536,,1.359,,,1.429,,,1.306,
,0.625,,,1.984,,,2.025,,,2.021,,,1.946,,,2.015,,,2.049,,,2.666,,,2.717,,,2.592,,1.411,,,1.388,,,1.339,
,0.3125,,,2.021,,,1.997,,,1.994,,,1.896,,,2.021,,,1.997,,,2.571,,,2.594,,,2.571,,1.347,,,1.332,,,1.263,
,0.15625,,,1.971,,,2.039,,,1.981,,,1.939,,,1.91,,,1.937,,,2.637,,,2.539,,,2.561,,1.32,,,1.437,,,1.276,
,0.078125,,,1.995,,,1.978,,,2.04,,,1.971,,,1.971,,,1.927,,,2.567,,,2.579,,,2.484,,1.315,,,1.296,,,1.224,
,0,,,1.999,,,2.026,,,2.002,,,1.899,,,1.929,,,1.908,,,2.583,,,2.531,,,2.531,,1.346,,,1.358,,,1.28,
,PAF,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.468,,,1.348,,,1.306,,,1.387,,,1.148,,,1.248,,,1.704,,,1.658,,,1.687,,1.443,,,1.444,,,1.451,
,2.5,,,1.288,,,1.176,,,1.085,,,1.112,,,1.05,,,1.115,,,1.665,,,1.652,,,1.676,,1.421,,,1.452,,,1.425,
,1.25,,,1.061,,,1.09,,,1.066,,,1.023,,,1.05,,,1.062,,,1.612,,,1.612,,,1.539,,1.376,,,1.306,,,1.409,
,0.625,,,1.162,,,1.091,,,1.096,,,1.029,,,1.034,,,1.1,,,1.338,,,1.55,,,1.606,,1.367,,,1.428,,,1.405,
,0.3125,,,1.154,,,1.09,,,1.119,,,1.109,,,1.064,,,1.027,,,1.563,,,1.525,,,1.542,,1.35,,,1.438,,,1.413,
,0.15625,,,1.211,,,1.074,,,1.021,,,0.937,,,0.932,,,0.976,,,1.397,,,1.408,,,1.465,,1.302,,,1.417,,,1.336,
,0.078125,,,1.124,,,1.723,,,1.074,,,1.085,,,1.024,,,1.086,,,1.526,,,1.619,,,1.549,,1.391,,,1.357,,,1.324,
,0,,,1.418,,,1.456,,,1.16,,,1.033,,,1.031,,,1.036,,,1.612,,,1.585,,,1.575,,1.493,,,1.402,,,1.593,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cyclic,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,,
,LPA,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,,,,,,,,,B3,,,,,,,
,5,,,1.118,,,1.386,,,1.14,,,1.003,,,0.995,,,1.036,,,1.438,,,1.482,,,1.482,,1.249,,,1.271,,,1.345,
,2.5,,,1.044,,,1.738,,,0.978,,,1.005,,,0.967,,,0.999,,,1.544,,,1.5,,,1.509,,1.266,,,1.326,,,1.299,
,1.25,,,1.012,,,0.943,,,0.955,,,0.968,,,0.936,,,0.991,,,1.52,,,1.575,,,1.538,,1.34,,,1.383,,,1.369,
,0.625,,,1.011,,,1.009,,,0.977,,,0.978,,,0.974,,,0.949,,,1.509,,,1.626,,,1.612,,1.372,,,1.331,,,1.391,
,0.3125,,,0.986,,,1.633,,,1.07,,,1.029,,,0.97,,,0.999,,,1.502,,,1.55,,,1.533,,1.372,,,1.398,,,1.389,
,0.15625,,,1.024,,,1.067,,,1.059,,,1.028,,,0.997,,,1.036,,,1.666,,,1.633,,,1.605,,1.399,,,1.446,,,1.452,
,0.078125,,,1.08,,,1.131,,,1.087,,,1.082,,,1.058,,,1.071,,,1.615,,,1.624,,,1.625,,1.466,,,1.524,,,1.53,
,0,,,1.069,,,1.131,,,1.14,,,1.096,,,1.081,,,1.084,,,1.628,,,1.696,,,1.687,,1.559,,,1.542,,,1.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
