,Lyso,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,,
,PAF,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,,,,,,,,,B3,,,,,,,
,5,,,1.133,,,1.182,,,1.161,,,1.051,,,1.089,,,1.1,,,1.7,,,1.676,,,1.699,,1.49,,,1.526,,,1.579,
,2.5,,,1.145,,,1.153,,,1.139,,,1.055,,,1.049,,,1.09,,,1.693,,,1.716,,,1.694,,1.559,,,1.46,,,1.55,
,1.25,,,1.071,,,1.158,,,1.099,,,1.076,,,1.061,,,1.111,,,1.709,,,1.641,,,1.704,,1.474,,,1.5,,,1.459,
,0.625,,,1.096,,,1.084,,,1.109,,,1.116,,,1.117,,,1.134,,,1.758,,,1.695,,,1.674,,1.469,,,1.521,,,1.57,
,0.3125,,,1.065,,,1.113,,,1.126,,,1.068,,,1.129,,,1.158,,,1.706,,,1.666,,,1.654,,1.518,,,1.553,,,1.568,
,0.15625,,,1.148,,,1.161,,,1.162,,,1.075,,,1.103,,,1.117,,,1.685,,,1.632,,,1.672,,1.549,,,1.549,,,1.58,
,0.078125,,,1.098,,,1.158,,,1.119,,,1.077,,,1.037,,,1.095,,,1.617,,,1.605,,,1.648,,1.473,,,1.496,,,1.521,
,0,,,1.21,,,1.151,,,1.159,,,1.126,,,1.147,,,1.163,,,1.721,,,1.651,,,1.741,,1.583,,,1.6,,,1.703,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BrP-LPA,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.276,,,1.262,,,1.262,,,1.263,,,1.305,,,1.264,,,1.839,,,1.773,,,1.809,,1.673,,,1.662,,,1.752,
,2.5,,,1.231,,,1.248,,,1.289,,,1.231,,,1.314,,,1.345,,,1.947,,,1.766,,,1.886,,1.644,,,1.661,,,1.744,
,1.25,,,1.246,,,1.314,,,1.285,,,1.268,,,1.299,,,1.298,,,1.833,,,1.807,,,1.763,,1.609,,,1.631,,,1.696,
,0.625,,,1.287,,,1.322,,,1.346,,,1.39,,,1.336,,,1.26,,,1.857,,,1.811,,,1.798,,1.574,,,1.627,,,1.658,
,0.3125,,,1.305,,,1.292,,,1.296,,,1.287,,,1.365,,,1.31,,,1.761,,,1.745,,,1.744,,1.615,,,1.682,,,1.661,
,0.15625,,,1.293,,,1.279,,,1.289,,,1.297,,,1.285,,,1.226,,,1.742,,,1.715,,,1.714,,1.663,,,1.686,,,1.66,
,0.078125,,,1.284,,,1.26,,,1.274,,,1.266,,,1.28,,,1.271,,,1.732,,,1.793,,,1.793,,1.618,,,1.699,,,1.787,
,0,,,1.257,,,1.252,,,1.32,,,1.289,,,1.262,,,1.283,,,1.803,,,1.734,,,1.786,,1.664,,,1.717,,,1.977,
,DAG,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.569,,,1.469,,,1.4,,,1.35,,,1.354,,,1.311,,,1.826,,,1.85,,,1.839,,1.286,,,1.25,,,1.342,
,2.5,,,1.434,,,1.218,,,1.278,,,1.271,,,1.329,,,1.307,,,1.799,,,1.841,,,1.819,,1.257,,,1.27,,,1.258,
,1.25,,,1.391,,,1.217,,,1.195,,,1.326,,,1.269,,,1.288,,,1.803,,,1.843,,,1.752,,1.243,,,1.266,,,1.254,
,0.625,,,1.28,,,1.263,,,1.245,,,1.318,,,1.32,,,1.305,,,1.795,,,1.82,,,1.757,,1.223,,,1.241,,,1.24,
,0.3125,,,1.439,,,1.227,,,1.318,,,2.078,,,1.223,,,1.225,,,1.75,,,1.804,,,1.727,,1.196,,,1.227,,,1.215,
,0.15625,,,1.351,,,1.265,,,1.216,,,1.404,,,1.212,,,1.223,,,1.586,,,1.622,,,1.604,,1.205,,,1.195,,,1.175,
,0.078125,,,1.502,,,1.212,,,1.127,,,1.198,,,1.255,,,1.239,,,1.668,,,1.716,,,1.743,,1.192,,,1.183,,,1.2,
,0,,,1.497,,,1.053,,,1.266,,,1.318,,,1.273,,,1.261,,,1.649,,,1.756,,,1.782,,1.227,,,1.19,,,1.201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
