,LBPA,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.197,,,1.178,,,1.134,,,1.185,,,1.132,,,1.093,,,1.688,,,1.651,,,1.628,,1.168,,,1.151,,,1.245,
,2.5,,,1.131,,,1.166,,,1.154,,,1.082,,,1.12,,,1.065,,,1.647,,,1.63,,,1.606,,1.121,,,1.148,,,1.145,
,1.25,,,1.076,,,1.085,,,1.055,,,1.065,,,1.103,,,1.082,,,1.539,,,1.595,,,1.583,,1.122,,,1.143,,,1.107,
,0.625,,,1.069,,,1.119,,,1.167,,,1.092,,,1.143,,,1.114,,,1.679,,,1.631,,,1.678,,1.162,,,1.124,,,1.102,
,0.3125,,,1.081,,,1.043,,,1.068,,,1.021,,,1.043,,,0.709,,,1.498,,,1.548,,,1.64,,1.094,,,1.032,,,1.048,
,0.15625,,,1.085,,,1.079,,,1.104,,,1.033,,,1.071,,,0.869,,,1.211,,,1.338,,,1.358,,1.057,,,1.103,,,1.046,
,0.078125,,,0.981,,,1.038,,,1.023,,,0.92,,,1.052,,,0.813,,,1.543,,,1.344,,,1.538,,1.021,,,1.11,,,1.089,
,0,,,1.11,,,1.104,,,1.077,,,1.101,,,1.113,,,1.101,,,1.667,,,1.531,,,1.65,,1.136,,,1.211,,,1.146,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2AG,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,1.064,,,1.048,,,1.022,,,1.057,,,1.046,,,1.095,,,1.652,,,1.7,,,1.631,,1.135,,,1.177,,,1.201,
,2.5,,,1.012,,,0.976,,,0.972,,,1.005,,,1.057,,,1.061,,,1.625,,,1.604,,,1.582,,1.079,,,1.175,,,1.175,
,1.25,,,0.938,,,0.982,,,0.932,,,0.998,,,1.024,,,1.027,,,1.659,,,1.615,,,1.66,,1.108,,,1.168,,,1.124,
,0.625,,,0.886,,,0.917,,,0.917,,,0.968,,,1.108,,,1.029,,,1.589,,,1.66,,,1.608,,1.197,,,1.131,,,1.139,
,0.3125,,,1.021,,,0.982,,,0.981,,,1.047,,,1.077,,,1.066,,,1.626,,,1.581,,,1.605,,1.142,,,1.129,,,1.158,
,0.15625,,,1.077,,,0.959,,,0.888,,,1.058,,,1.105,,,1.037,,,1.473,,,1.586,,,1.508,,1.129,,,1.138,,,1.165,
,0.078125,,,0.975,,,1.032,,,1.063,,,1.124,,,1.094,,,1.117,,,1.65,,,1.641,,,1.664,,1.142,,,1.116,,,1.21,
,0,,,1.119,,,1.007,,,1.07,,,1.112,,,1.036,,,1.075,,,1.747,,,1.727,,,1.748,,1.251,,,1.209,,,1.247,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GP,,,LT 3015,,,,,,,,,LT 3017,,,,,,,,,LT 3114,,,,,,,,B3,,,,,,,
,5,,,,,,0.989,,,1.084,,,1.127,,,1.139,,,1.085,,,1.7,,,1.674,,,1.747,,1.244,,,1.245,,,1.336,
,2.5,,,,,,1.044,,,1.121,,,1.187,,,1.131,,,1.14,,,1.724,,,1.747,,,1.765,,1.226,,,1.237,,,1.269,
,1.25,,,,,,1.087,,,1.125,,,1.149,,,1.154,,,1.12,,,1.688,,,1.83,,,1.72,,1.179,,,1.247,,,1.215,
,0.625,,,,,,1.097,,,1.161,,,1.184,,,1.087,,,1.191,,,1.759,,,1.784,,,1.802,,1.217,,,1.248,,,1.258,
,0.3125,,,,,,1.134,,,1.109,,,1.127,,,1.036,,,1.18,,,1.83,,,1.846,,,1.734,,1.204,,,1.182,,,1.218,
,0.15625,,,,,,1.113,,,1.113,,,1.159,,,1.08,,,1.12,,,1.652,,,1.603,,,1.694,,1.219,,,1.268,,,1.275,
,0.078125,,,,,,1.117,,,1.116,,,1.225,,,1.175,,,1.127,,,1.75,,,1.693,,,1.798,,1.173,,,1.309,,,1.253,
,0,,,,,,1.195,,,1.096,,,1.216,,,1.229,,,1.132,,,1.789,,,1.749,,,1.766,,1.279,,,1.245,,,1.304,
