"Lipid
Inventory Id.",“common” name,Chemical name,Vendor,Cat. no.
72,Lysophosphatidic Acid (18:2),1-Linoleoyl LPA,Echelon,L-0182
76,"Lysophosphatidic Acid (C18:1)
alkyl","1-(9Z-octadecenyl)-2-hydroxy-sn-
glycero-3-phosphate",Avanti,857230
1,Sphingosine-1-Phosphate,D-erythro-Sphingosine-1-Phosphate,Avanti,860492
3,D-erythro Sphingosine,D-erythro-Sphingosine (Synthetic),Avanti,860490
5,Sphingosine Phosphocholine,"D-erythro-Sphingosine
Phosphocholine (Lyso
Sphingomyelin)",Avanti,860600
43,"Lysophosphatidylcholine
(C18:0)","1-Stearoyl-2-Hydroxy-sn-Glycerol-3-
Phosphocholine",Avanti,855775
45,"Lysophosphatidylethanolamine
(C18:0)","1-Stearoyl-2-Hydroxy-sn-Glycerol-3-
Phosphoethanolamine",Avanti,856715
47,"Lysophosphatidylglycerol
(LPG C18:0)","1-Stearoyl-2-Hydroxy-sn-Glycero-3-
[Phosho-rac-1-glycerol)]",Avanti,858124
87,LPS (18:1),"1-Oleoyl-2-hydroxy-sn-glycerol-3-
phospho-L-serine",Avanti,858143
90,18:1 Lyso PI,"1-Olyoyl-2-Hydroxy-sn-Glycero-3-
Phosphoinositol",Avanti,850100
8,Phosphatidylserine (PS 16:0),"1,2-Dipalmitoyl-sn-Glycero-3-
[Phospho-L-Serine] (Sodium Salt)
(DPPS)",Avanti,840037
34,16:0-18:1 PC,"1-Palmitoyl-2-Oleoyl-sn-Glycero-3-
Phosphocholine (16:0-18:1)",Avanti,850457
35,Phosphatidylglycerol (18:2 PG),"1,2-Dilinoleoyl-sn-Glycero-3-
[Phospho-rac-(1-glycerol)]",Avanti,840485
36,"Phosphatidic Acid 16:0-18:1
PA","1-Palmitoyl-2-Oleoyl-sn-Glycero-3-
Phosphate (16:0-18:1)",Avanti,840857
88,18:1 (∆9-trans) PE,"1,2-dieladoyl-sn-glycero-3-
phosphoethanolamine",Avanti,850726
89,11:0 PC,"1,2-diundecanoyl-sn-glycero-3-
phosphocholine",Avanti,850330
14,PAF,"1-Alkyl-2-Acetoyl-sn-Glycero-3-
Phosphocholine",Avanti,840009
16,cyclic LPA (18:1),"1-Oleoyl-sn-Glycero-2-3-Cyclic-
Phosphate",Avanti,857328
19,Lyso PAF,1-Alkyl-2-Hydroxy-sn-Glycero-3-,Avanti,840008
